cik_no,fund_name,matched_fund_name,matched_firm_name,related_partner,matched_owner_name,crd_no_fund,matched_fund_confidence,crd_no_firm,matched_firm_confidence,crd_no_owner,matched_firmowners_confidence
1486375,Prism Amber Fund Lp,Prism Amber Fund Lp,Prism Funds,Richard Simkus,Simkus Richard Victor,147911.0,1.4901161193847656e-08,147911.0,0.8032374434297811,147911.0,1.4556734622508796
1486375,Prism Amber Fund Lp,Prism Amber Fund Lp,Prism Funds,Richard Simkus,Simkus Richard Victor,147911.0,1.4901161193847656e-08,147911.0,0.8032374434297811,147911.0,1.4556734622508796
1492850,Suja Minerals Corp,,M,Prashanth Prakash,Prakash Anand,304760.0,0.9999999999999998,289388.0,1.0,160845.0,1.3655471478095988
93314,Volitionrx Ltd,,Volition Capital,Lawrence Cheung,Cheng Lawrence,162180.0,1.0,289388.0,0.9459078912556528,162180.0,1.6562386054370384
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.0
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Diane Meggs,Meggs Diane S,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.4187447285282945
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Steve Mitchell,Stevens Jon Mitchell,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5721402587118836
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Austin Wachter,Wachter Austin Penn,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.5909725240253645
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1521019,Nuveen Asset Management,Vc Asset Management,Nuveen Asset Management,Nuveen Fund Advisors Inc,Nuveen Fund Advisors,155584.0,0.8014077161557661,315897.0,0.0,155584.0,0.3876877490545286
1062720,Enviro Serve Inc,Enervest,Enervest Investment Services L L C,Michal Handerhan,Vanderhider James Michael,297181.0,0.9526267672182588,109846.0,0.9597338148271756,297181.0,1.8283466411809128
886982,Goldman Sachs Group,Goldman Sachs Gms Erisa Group Trust,Goldman Sachs Co,Gregory Palm,Palm Gregory Kenneth,361.0,0.7167249621958041,113308.0,0.5141976204853763,361.0,1.3029077351555332
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Steven Heim,Heim Steven F,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.4594380140538503
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Steven Heim,Heim Steven F,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.4594380140538503
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Nancy Spady,Spady Nancy Grossman,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.5611429391987546
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Nancy Spady,Spady Nancy Grossman,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.5611429391987546
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Matthew Zalosh,Zalosh Matthew Adam,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.5585230510764991
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Matthew Zalosh,Zalosh Matthew Adam,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.5585230510764991
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Geeta Aiyer,Aiyer Geeta Bhide,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.5436734351469317
1365067,Boston Common International Social Fund,Boston Common International Social Fund,Boston Common Asset Management,Geeta Aiyer,Aiyer Geeta Bhide,123558.0,0.0,123558.0,0.8778893191579755,123558.0,1.5436734351469317
849145,C Global Technologies Inc,K Global Technology Fund Lp Series,K Global Technology,Michael Sigala,Sigal Michael Robert,301937.0,0.7101375199474512,314373.0,0.7007190597765374,161526.0,1.481482972237846
849145,C Global Technologies Inc,Rb Capital I Lp,K Global Technology,Michael Sigala,Sigal Michael Robert,301937.0,0.7616827899664853,168509.0,0.7007190597765374,161526.0,1.481482972237846
849145,Counsel Rb Capital Inc,K Global Technology Fund Lp Series,Capital Counsel,Michael Sigala,Sigal Michael Robert,109001.0,0.7101375199474512,314373.0,0.8224359337380851,161526.0,1.481482972237846
849145,Counsel Rb Capital Inc,Rb Capital I Lp,Capital Counsel,Michael Sigala,Sigal Michael Robert,109001.0,0.7616827899664853,168509.0,0.8224359337380851,161526.0,1.481482972237846
763848,Nwq Investment Management Company,Waha Investment Management Company Spc,Thales Investment Management Company,Nuveen Nwq Holdings,Nwq Partners,314358.0,0.7878515903419224,286370.0,0.8739215248869041,121876.0,0.8806208342461648
763848,Nwq Investment Management Company,Waha Investment Management Company Spc,Thales Investment Management Company,Nuveen Nwq Holdings,Nwq Partners,314358.0,0.7878515903419224,286370.0,0.8739215248869041,121876.0,0.8806208342461648
763848,Nwq Investment Management Company,Waha Investment Management Company Spc,Thales Investment Management Company,Jon Bosse,Bosse Jon Daniel,314358.0,0.7878515903419224,286370.0,0.8739215248869041,121876.0,0.7766918713527751
763848,Nwq Investment Management Company,Waha Investment Management Company Spc,Thales Investment Management Company,Jon Bosse,Bosse Jon Daniel,314358.0,0.7878515903419224,286370.0,0.8739215248869041,121876.0,0.7766918713527751
763848,Nwq Investment Management Company,Mara Investment Management Lp,Thales Investment Management Company,Nuveen Nwq Holdings,Nwq Partners,314358.0,0.7861983471800063,165820.0,0.8739215248869041,121876.0,0.8806208342461648
763848,Nwq Investment Management Company,Mara Investment Management Lp,Thales Investment Management Company,Nuveen Nwq Holdings,Nwq Partners,314358.0,0.7861983471800063,165820.0,0.8739215248869041,121876.0,0.8806208342461648
763848,Nwq Investment Management Company,Mara Investment Management Lp,Thales Investment Management Company,Jon Bosse,Bosse Jon Daniel,314358.0,0.7861983471800063,165820.0,0.8739215248869041,121876.0,0.7766918713527751
763848,Nwq Investment Management Company,Mara Investment Management Lp,Thales Investment Management Company,Jon Bosse,Bosse Jon Daniel,314358.0,0.7861983471800063,165820.0,0.8739215248869041,121876.0,0.7766918713527751
763848,Nwq Investment Management Co,Waha Investment Management Company Spc,Courant Investment Management,Nuveen Nwq Holdings,Nwq Partners,153865.0,0.7878515903419224,286370.0,0.940646981205816,121876.0,0.8806208342461648
763848,Nwq Investment Management Co,Waha Investment Management Company Spc,Courant Investment Management,Nuveen Nwq Holdings,Nwq Partners,153865.0,0.7878515903419224,286370.0,0.940646981205816,121876.0,0.8806208342461648
763848,Nwq Investment Management Co,Waha Investment Management Company Spc,Courant Investment Management,Jon Bosse,Bosse Jon Daniel,153865.0,0.7878515903419224,286370.0,0.940646981205816,121876.0,0.7766918713527751
763848,Nwq Investment Management Co,Waha Investment Management Company Spc,Courant Investment Management,Jon Bosse,Bosse Jon Daniel,153865.0,0.7878515903419224,286370.0,0.940646981205816,121876.0,0.7766918713527751
763848,Nwq Investment Management Co,Mara Investment Management Lp,Courant Investment Management,Nuveen Nwq Holdings,Nwq Partners,153865.0,0.7861983471800063,165820.0,0.940646981205816,121876.0,0.8806208342461648
763848,Nwq Investment Management Co,Mara Investment Management Lp,Courant Investment Management,Nuveen Nwq Holdings,Nwq Partners,153865.0,0.7861983471800063,165820.0,0.940646981205816,121876.0,0.8806208342461648
763848,Nwq Investment Management Co,Mara Investment Management Lp,Courant Investment Management,Jon Bosse,Bosse Jon Daniel,153865.0,0.7861983471800063,165820.0,0.940646981205816,121876.0,0.7766918713527751
763848,Nwq Investment Management Co,Mara Investment Management Lp,Courant Investment Management,Jon Bosse,Bosse Jon Daniel,153865.0,0.7861983471800063,165820.0,0.940646981205816,121876.0,0.7766918713527751
1415345,Hillcrest Asset Management,Vc Asset Management,Castle Hill Asset Management,Brian Bruce,Bruce Brian,152604.0,0.781652207506734,315897.0,0.8558328668245242,145078.0,0.7669884985329743
1415345,Hillcrest Asset Management,Vc Asset Management,Castle Hill Asset Management,Bruce Bedrick,Bruce Brian,152604.0,0.781652207506734,315897.0,0.8558328668245242,145078.0,1.2831181774346547
1325552,Dialectic Antithesis Partners Lp,Dialectic Antithesis Partners Lp,Dialectic Capital Management Lp,John Fichthorn,Fichthorn John Aaron,317039.0,0.0,292062.0,0.8719313633322571,317039.0,1.5386824374687622
1398702,Victory Electronic Cigarettes Corp,Electric Legal,Victory Capital Management,Pat Lavecchia,Lavecchia Thomas,106189.0,0.976644074850988,292620.0,0.9891014577022074,106421.0,1.7654348754694449
1398702,Victory Electronic Cigarettes Corp,Electric Legal,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,0.976644074850988,292620.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Victory Electronic Cigarettes Corp,Electric Legal,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,0.976644074850988,292620.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Victory Electronic Cigarettes Corp,,Victory Capital Management,Pat Lavecchia,Lavecchia Thomas,106189.0,1.0,289388.0,0.9891014577022074,106421.0,1.7654348754694449
1398702,Victory Electronic Cigarettes Corp,,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,1.0,289388.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Victory Electronic Cigarettes Corp,,Victory Capital Management,Darin Silvernagle,Silver Martin S,106189.0,1.0,289388.0,0.9891014577022074,106421.0,1.8485449049414384
1398702,Teckmine Industries,Electric Legal,Industries,Pat Lavecchia,Lavecchia Thomas,323356.0,0.976644074850988,292620.0,0.8133509734528587,106421.0,1.7654348754694449
1398702,Teckmine Industries,Electric Legal,Industries,Darin Silvernagle,Silver Martin S,323356.0,0.976644074850988,292620.0,0.8133509734528587,106421.0,1.8485449049414384
1398702,Teckmine Industries,,Industries,Pat Lavecchia,Lavecchia Thomas,323356.0,1.0,289388.0,0.8133509734528587,106421.0,1.7654348754694449
1398702,Teckmine Industries,,Industries,Darin Silvernagle,Silver Martin S,323356.0,1.0,289388.0,0.8133509734528587,106421.0,1.8485449049414384
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laurie Hawkes,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.8759143180031667
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Clark Winslow,Winslow Clark Joseph,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.6704403420213229
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
900973,Winslow Capital Management,Capital Management L P,Winslow Capital Management,Laura Hawkins,Hawkins Laura Jean,106940.0,0.7949294528312537,161111.0,1.4901161193847656e-08,106940.0,0.530696363656305
