form_d_fund_id,cik_no_fund,fund,form_adv_fund_id,crd_no_fund,matched_fund,fund_confidence,related_partners,direct_owners_fund,owners_fund_ratio
28312,1085921,Micromem Technologies,,160426,Milcom Technologies,0.659,Oliver Nepomuceno,Laird Jennifer Ellen,0.324
28312,1085921,Micromem Technologies,,160426,Milcom Technologies,0.659,Joseph Fuda,Trbovich John Patrick,0.312
28312,1085921,Micromem Technologies,,160426,Milcom Technologies,0.659,Brian Von Herzen,Rottenberg Jason Lawrence,0.39
28312,1085921,Micromem Technologies,,160426,Milcom Technologies,0.659,Alex Dey,Laird Jennifer Ellen,0.214
31442,1438426,Magnetar Structured Credit Fund,142914.0,106631, Capital Structured Credit Fund,0.672,Michael Turro,Woodall Michael Joseph,0.514
31442,1438426,Magnetar Structured Credit Fund,142914.0,106631, Capital Structured Credit Fund,0.672,Alec Litowitz,Gould Jeffrey Lewis,0.375
31442,1438426,Magnetar Structured Credit Fund,142914.0,106631, Capital Structured Credit Fund,0.672,N A Magnetar Financial,Salm Michael Vincent,0.381
31442,1438426,Magnetar Structured Credit Fund,142914.0,106631, Capital Structured Credit Fund,0.672,David Snyderman,Bolotin Andra Sloane,0.4
31442,1438426,Magnetar Structured Credit Fund,142914.0,106631, Capital Structured Credit Fund,0.672,Ross Laser,Reynolds Robert Lloyd,0.387
30083,1339820,Tcw Senior Secured Floating Rate Loan Fund Cayman L P,5186.0,153966,Tcw Senior Secured Loan Fund,0.673,Wayne Hosang,Hanlon Joseph A Mi Only,0.343
30083,1339820,Tcw Senior Secured Floating Rate Loan Fund Cayman L P,5186.0,153966,Tcw Senior Secured Loan Fund,0.673,N A Crescent Senior Secured Loan Management,Tcw Asset Management Co,0.485
30083,1339820,Tcw Senior Secured Floating Rate Loan Fund Cayman L P,5186.0,153966,Tcw Senior Secured Loan Fund,0.673,N A Crescent Senior Secured Floating Rate Loan Fund,Crescent Credit Europe Group,0.481
30083,1339820,Tcw Senior Secured Floating Rate Loan Fund Cayman L P,5186.0,153966,Tcw Senior Secured Loan Fund,0.673,Conrad Chen,Levine Andrew Stephen,0.375
35762,1611136,Shearwater Offshore,,174210,Shearwater Fund,0.703,Lucas Warford,Harris Theodore Andrew,0.343
35762,1611136,Shearwater Offshore,,174210,Shearwater Fund,0.703,Robert Meschi,Sherman Michael John,0.364
35762,1611136,Shearwater Offshore,,174210,Shearwater Fund,0.703,Roberto Mignone,Sherman Michael John,0.4
35762,1611136,Shearwater Offshore,,174210,Shearwater Fund,0.703,Brian Eden,Sherman Michael John,0.4
33336,1526713,A Plus Fund,,309838,Andes Plus Fund I,0.716,Terrence Martell,Barantseva Natalia,0.412
33336,1526713,A Plus Fund,,309838,Andes Plus Fund I,0.716,Adam Gehrie,Ayca Vargas Julio Cesar,0.353
33336,1526713,A Plus Fund,,309838,Andes Plus Fund I,0.716,Jonathan Spencer,Ramirez Jaime Alberto,0.27
33336,1526713,A Plus Fund,,309838,Andes Plus Fund I,0.716,Douglas Hepworth,Ayca Vargas Julio Cesar,0.308
33336,1526713,A Plus Fund,,309838,Andes Plus Fund I,0.716,Louis Oneill,Ramirez Jaime Alberto,0.242
33336,1526713,A Plus Fund,,309838,Andes Plus Fund I,0.716,Mark Kaplan,Barantseva Natalia,0.414
32006,1463744,Dune Sciences,,163728,Fund Science,0.736,Myron Chadowitz,Irby Stuart Mcilwaine,0.278
32006,1463744,Dune Sciences,,163728,Fund Science,0.736,John Miller,Jjn Equity Investors,0.387
32006,1463744,Dune Sciences,,163728,Fund Science,0.736,Richard Geiger,Irby Stuart Mcilwaine,0.286
31606,1450140,Nhi Financial Services,,321099,Calvin Financial Services,0.747,David Hadani,Meow Technologies,0.207
31606,1450140,Nhi Financial Services,,321099,Calvin Financial Services,0.747,Ken Hager,Meow Technologies,0.308
31606,1450140,Nhi Financial Services,,321099,Calvin Financial Services,0.747,Lee Stuart,Meow Technologies,0.148
31606,1450140,Nhi Financial Services,,321099,Calvin Financial Services,0.747,Ben Harris,Meow Technologies,0.296
31606,1450140,Nhi Financial Services,,321099,Calvin Financial Services,0.747,Terry Dunn,Meow Technologies,0.222
33181,1520589,Bridge Capital Asset Funding,,309283,Apse Capital Bridge Fund,0.806,Greg Ziskind,Green Timothy Simon,0.452
33181,1520589,Bridge Capital Asset Funding,,309283,Apse Capital Bridge Fund,0.806,Scott Gruber,Long Ashley Timothy Marden,0.263
33181,1520589,Bridge Capital Asset Funding,,309283,Apse Capital Bridge Fund,0.806,Rudi Scheidt Jr,Long Ashley Timothy Marden,0.341
42953,1746216,Cgiof Investment,,301879,Cg Investment Partners,0.827,N A Cgiof General Partner Lp,Kaestner Henry Rice,0.34
42953,1746216,Cgiof Investment,,301879,Cg Investment Partners,0.827,N A Cgiof Gp,Roush Lukas Miller,0.2
38853,1692915,Fledge Series,,124612,Hedge Fund Series,0.829,Michael Libes,Hankin Michael David,0.545
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Michael Rohwetter,Miner Heather Kennedy,0.421
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Dave Dampman,Plutzer David,0.32
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Robert Gibson,Salisbury Julian,0.345
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Frank Malagreca,Stein Laurence,0.414
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Audrey Martin,Salisbury Julian,0.414
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Louis Pietroluongo,Gsam Holdings,0.387
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Stuart Berman,Stein Laurence,0.444
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Ira Kleinman,Porges Ellen Randy,0.467
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Paul Noftke,Plutzer David,0.333
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Mark Hargrove,Miner Heather Kennedy,0.412
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,David Dampman,Plutzer David Seth,0.387
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Scott Beeman,Stein Laurence,0.385
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,N A Zurich American Life Insurance Company,Arthur Jacqueline Dupree,0.364
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Cathy Ehrlich,Lane Eric Scott,0.429
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Colleen Zitt,Porges Ellen Randy,0.4
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Juanita Thomas,Salisbury Julian Charles,0.421
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Adam Page,Gsam Holdings,0.364
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Richard Hauser,Miner Heather Kennedy,0.4
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Patrick Carty,Lane Eric Scott,0.429
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Debra Broek,Plutzer David Seth,0.345
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,David Dietz,Plutzer David Seth,0.552
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Dennis Roberts,Lane Eric Scott,0.345
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Richard Grilli,Salisbury Julian,0.333
26281,351754,Zalico Variable Series Vi Separate Account,259.0,107738,Zalico Variable Series I Core Fixed Income,0.837,Bob Burne,Stein Laurence,0.435
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Charles Abrecht,Flaherty Carey Joseph,0.389
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Julie Jack,Dickerman Ronald Mark,0.323
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Richard Chilton,Chen Michael Jiun Yih,0.389
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,William Boardman,Torpey William Kyle,0.457
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Louis Frederic Depfyffer,Siefert Michael,0.359
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Chilton Investment Company,Madison International Realty Partners Lp,0.394
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Jonathan Wainwright,Chen Michael Jiun Yih,0.4
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Patricia Mallon,Dickerman Allison Rose,0.432
31788,1458357,Chilton European International Bvi,5298.0,158165,Madison International European Prime Property Investors,0.861,Steven Mcpherson,Siefert Michael,0.516
58616,1415768,Lateef: Alpha Plus Offshore,,168441,Alpha Plus Fund,0.872,Helen Crowley,Lee Wei Choy,0.48
58616,1415768,Lateef: Alpha Plus Offshore,,168441,Alpha Plus Fund,0.872,Kent Clark,Chen Xian,0.421
30130,1342986,Avatar Capital Finance,,322243,Stolar Capital Financing Fund Ii,0.888,Jerry Zevenbergen,Brosens Peter Bernard,0.368
30130,1342986,Avatar Capital Finance,,322243,Stolar Capital Financing Fund Ii,0.888,Tr Hazelrigg Iv,Brosens Peter Bernard,0.278
38555,1684295,Tala Security,,308490,Mc Security Fund,0.935,Aanand Krishnan,Virk Kanad Singh,0.452
38555,1684295,Tala Security,,308490,Mc Security Fund,0.935,Sanjay Sawhney,Virk Kanad Singh,0.4
38555,1684295,Tala Security,,308490,Mc Security Fund,0.935,Kenneth Pelowski,Chertoff Group,0.267
38555,1684295,Tala Security,,308490,Mc Security Fund,0.935,Stephen Bennett,Savasta Nicholas Joseph,0.263
37198,1652804,Elira,,160068, Ele,0.942,Ralph Dacey Jr, Partners,0.348
37198,1652804,Elira,,160068, Ele,0.942,Charles Bolten,Mcafee Shelley Boyd,0.364
37198,1652804,Elira,,160068, Ele,0.942,Steven Edmundowicz,Mcafee Shelley Boyd,0.27
37198,1652804,Elira,,160068, Ele,0.942,A Spitzer, Partners,0.444
37198,1652804,Elira,,160068, Ele,0.942,Arda Minocherhomjee,Mcafee Shelley Boyd,0.316
37198,1652804,Elira,,160068, Ele,0.942,Jason Darrah, Partners,0.381
37198,1652804,Elira,,160068, Ele,0.942,Raul Perez, Partners,0.421
37198,1652804,Elira,,160068, Ele,0.942,Bevil Hogg,Mcafee Shelley Boyd,0.276
37198,1652804,Elira,,160068, Ele,0.942,Danika Harrison, Partners,0.417
37198,1652804,Elira,,160068, Ele,0.942,Derek Lee,Mcafee Shelley Boyd,0.357
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Tam Hulusi,Korenaga Hirotoshi,0.357
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,James Davis,Korenaga Hirotoshi,0.276
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Ricky Tsai,Horii Naoya,0.286
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Joaquin Viso,Horii Naoya,0.348
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Karl Rauscher,Korenaga Hirotoshi,0.323
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Bruce Rector,Korenaga Hirotoshi,0.333
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Thomas Chisholm,Korenaga Hirotoshi,0.364
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Karl Weintz,Korenaga Hirotoshi,0.345
30441,1370924,Sonavation,,321945,Sony Innovation Fund ,0.954,Will Fleming,Tsuchikawa Gen Nmn,0.333
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Raymond Bailey,Talkington Bryn Basiardanes,0.39
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Alex Blyumkin,Talkington Bryn Basiardanes,0.3
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,David Sealock,Schnier David Jason,0.5
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Mark Korb,John Douglas Geoffrey,0.267
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Vladimir Podlipskiy,Schnier David Jason,0.263
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Aleksandr Blyumkin,Talkington Bryn Basiardanes,0.356
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Robert Dennewald,Schnier David Jason,0.343
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Travis Schneider,Schnier David Jason,0.4
34221,1561180,Petroteq Energy,25152.0,283107,Requisite Energy Fund I,0.967,Gerald Bailey,Schnier David Jason,0.375
38437,1681343,Streamnet,2568.0,112337,Hamner Drive,0.99,Darryl Payne,Carlton Peter,0.48
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Stephen Rasmussen,Hyat Taimur,0.357
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Mark Thresher,Muhlhauser Jurgen,0.4
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Eric Henderson,Friedman Betsy Lynn,0.424
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,John Carter,Ewing John Martin,0.571
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Timothy Frommeyer,Fialcowitz Maureen Baker,0.39
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Joseph Sprague,Doscher John Theodore,0.4
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Steve Rasmussen,Hyat Taimur,0.385
28687,1135856,Nationwide Private Placement Variable Account,245.0,105676,The Prudential Insurance Company Of America Variable Contract Account Gi Mat ,0.991,Kirt Walker,Fialcowitz Maureen Baker,0.4
23397,1161582,Growlife,7869.0,361,Prowler Investors,1.0,Marco Hegyi,Wondrack Jon Joseph,0.333
23397,1161582,Growlife,7869.0,361,Prowler Investors,1.0,Mark Scott,Seymour Karen Patton,0.333
23397,1161582,Growlife,7869.0,361,Prowler Investors,1.0,Katherine Mclain,Ruemmler Kathryn Helen,0.474
23397,1161582,Growlife,7869.0,361,Prowler Investors,1.0,Thom Kozik,Matthias Thomas Fairbanks,0.4
23397,1161582,Growlife,7869.0,361,Prowler Investors,1.0,Joe Barnes,Stein Laurence,0.5
23397,1161582,Growlife,7869.0,361,Prowler Investors,1.0,Michael Fasci,Broadbery Michael Mary,0.514
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,Alan Dunton,First Long Island Investor Holding,0.356
33854,1548089,Revivermx,3656.0,167212,,1.0,Nicholas Brathwaite,Rosenthal Robert Daniel,0.381
36000,1618436,Promptio,3656.0,167212,,1.0,Philip Gordon,Palleschi Ralph Francis,0.444
36000,1618436,Promptio,3656.0,167212,,1.0,Barbara Smith,Rosenthal Robert Daniel,0.278
36000,1618436,Promptio,3656.0,167212,,1.0,Robert Goldstein,Rosenthal Robert Daniel,0.41
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,Steven Chrust,Juchem Stephen Joseph,0.412
32937,1511754,Ivwatch,3656.0,167212,,1.0,Michael Petkovich,Juchem Stephen Joseph,0.368
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,Cassandra Klimp,First Long Island Investor Holding,0.367
33854,1548089,Revivermx,3656.0,167212,,1.0,Neville Boston,Rosenthal Robert Daniel,0.324
33854,1548089,Revivermx,3656.0,167212,,1.0,Andrew Iorgulescu,First Long Island Investor Holdings,0.308
33854,1548089,Revivermx,3656.0,167212,,1.0,Simon Szewach,Siegel Bruce Alan,0.333
35635,1607677,Retrotope,3656.0,167212,,1.0,Robert Molinari,Rosenthal Robert Daniel,0.474
35635,1607677,Retrotope,3656.0,167212,,1.0,Charles Cantor,Rosenthal Robert Daniel,0.378
35635,1607677,Retrotope,3656.0,167212,,1.0,Timur Artemev,Kudu Investment Us,0.323
35635,1607677,Retrotope,3656.0,167212,,1.0,Ernst Guenter Afting,First Long Island Investor Holding,0.407
35635,1607677,Retrotope,3656.0,167212,,1.0,Harry Saal,Rosenthal Robert Daniel,0.303
35635,1607677,Retrotope,3656.0,167212,,1.0,Peter Milner,Siegel Bruce Alan,0.414
35635,1607677,Retrotope,3656.0,167212,,1.0,Leonardus Ht Van Der Ploeg,Rosenthal Robert Daniel,0.408
32937,1511754,Ivwatch,3656.0,167212,,1.0,Scott Hensley,Juchem Stephen Joseph,0.353
32937,1511754,Ivwatch,3656.0,167212,,1.0,F Clare Jr,Siegel Bruce Alan,0.296
33854,1548089,Revivermx,3656.0,167212,,1.0,Ernst Lieb,Rosenthal Robert Daniel,0.303
32937,1511754,Ivwatch,3656.0,167212,,1.0,Gary Warren,Rosenthal Robert Daniel,0.294
32937,1511754,Ivwatch,3656.0,167212,,1.0,Holly Novak,Rosenthal Robert Daniel,0.294
32937,1511754,Ivwatch,3656.0,167212,,1.0,John Wynne,Juchem Stephen Joseph,0.323
32937,1511754,Ivwatch,3656.0,167212,,1.0,John Gahan Jr,Juchem Stephen Joseph,0.412
32937,1511754,Ivwatch,3656.0,167212,,1.0,Nicole Lowe,Juchem Stephen Joseph,0.312
32937,1511754,Ivwatch,3656.0,167212,,1.0,John Lawson Ii,First Long Island Investor Holding,0.333
32937,1511754,Ivwatch,3656.0,167212,,1.0,Anne Conner,Rosenthal Robert Daniel,0.294
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,Frederick Telling,Siegel Bruce Alan,0.412
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,C Maglaris,Palleschi Ralph Francis,0.364
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,Joseph Rucci,Rosenthal Robert Daniel,0.4
32547,1491841,Cytogel Pharma,3656.0,167212,,1.0,Theodore Maione,Siegel Bruce Alan,0.375
35635,1607677,Retrotope,3656.0,167212,,1.0,Mikhail Shchepinov,Juchem Stephen Joseph,0.359
